TranscriptName	GeneGo	length
XM_012814569.2	 GO:0008833;GO:0003677;GO:0008270;GO:0006281;	945
XM_012839528.2	 GO:0005634;GO:0070577;GO:0030154;GO:0001207;GO:0007141;GO:0007140;GO:0051039;GO:0043484;GO:0007283;	30
XM_031561224.1	 GO:0031463;GO:0005737;GO:0005783;GO:0097602;GO:0042802;GO:0030030;GO:0032469;GO:0045724;GO:0043161;GO:0051260;	5671
XM_031581480.1	 GO:0005737;GO:0005881;GO:0005874;GO:0015630;GO:0005815;GO:0035371;GO:0030496;GO:1905721;GO:0048471;GO:0051233;GO:0042802;GO:0008017;GO:0051010;GO:0008022;GO:0019901;GO:0051301;GO:0045737;GO:1903033;GO:0045860;GO:0045893;GO:0035372;GO:1904825;GO:0031113;GO:0031110;GO:0051225;	23
XM_012814483.2	 GO:0005789;GO:0016021;GO:0005886;GO:0005524;GO:0005525;GO:0004383;GO:0016941;GO:0017046;GO:0001653;GO:0004672;GO:0006182;GO:0035556;GO:0007168;GO:0042127;GO:0009636;GO:0007165;	4657
XM_031561226.1	 GO:0005737;GO:0005634;GO:0003730;GO:0003723;GO:0008134;GO:0006397;GO:0043488;	906
XM_012814592.2	 GO:0016363;GO:0016607;GO:0005634;GO:0071011;GO:0005689;GO:0005686;GO:0071005;GO:0003677;GO:0003700;GO:0003723;GO:0008270;GO:0000398;GO:0045893;GO:0048863;	1246
XM_031560639.1	 GO:0005634;GO:0046872;GO:0035198;GO:0003723;GO:0010608;GO:0035196;GO:0016032;	2406
XM_012814644.2	 GO:0005634;GO:0046872;GO:0035198;GO:0003723;GO:0010608;GO:0035196;GO:0016032;	3791
XM_031576901.1	 GO:0005634;GO:0046872;GO:0035198;GO:0003723;GO:0010608;GO:0035196;	294
XM_031565585.1	 GO:0001533;GO:0005856;GO:0005829;GO:0030057;GO:0016607;GO:0005654;GO:0070268;	26
XM_031567230.1	-	28839
XM_012814661.2	 GO:0016235;GO:1904115;GO:0000777;GO:0005737;GO:1990723;GO:0005829;GO:0030425;GO:0043231;GO:0072686;GO:0005635;GO:0031965;GO:0005643;GO:0044614;GO:0005654;GO:0048471;GO:0045296;GO:0005096;GO:0008536;GO:0003723;GO:0031625;GO:0090630;GO:1904117;GO:0046826;GO:0016925;GO:0048678;GO:0007165;	292
XM_012814482.2	 GO:0062023;GO:0031012;GO:0005615;GO:0005518;GO:0098633;GO:0032331;GO:1904027;	1077
XM_031573156.1	 GO:0062023;GO:0031012;GO:0005615;GO:0005518;GO:0098633;GO:0032331;GO:1904027;	647
XM_031564417.1	 GO:0005634;GO:0003682;GO:0042393;GO:0035064;GO:0008270;GO:0006325;GO:0045892;	164
XM_031560867.1	 GO:0005634;GO:0035064;GO:0008270;GO:0006325;GO:0006355;	53
XM_031564115.1	 GO:0005737;GO:0000123;GO:0042025;GO:0016604;GO:0000790;GO:0005654;GO:0005634;GO:0016407;GO:0003682;GO:0000987;GO:0003684;GO:0004402;GO:0043426;GO:0002039;GO:0061733;GO:0001102;GO:0001085;GO:0003713;GO:0003714;GO:0008134;GO:0008270;GO:1904837;GO:0034644;GO:0042733;GO:0016573;GO:1990258;GO:0042592;GO:0018076;GO:0000122;GO:0007219;GO:0045747;GO:0045944;GO:0007221;GO:0045893;GO:0030511;GO:0032481;GO:0006473;GO:0031648;GO:0065003;GO:0042981;GO:1900034;GO:0019216;GO:0045637;GO:0008589;GO:0061418;GO:0006355;GO:0001666;GO:0048511;GO:0007165;GO:0002223;GO:0006367;GO:0016032;	2030
XM_031576819.1	 GO:0005694;GO:0005829;GO:0000123;GO:0042025;GO:0005654;GO:0005634;GO:0032993;GO:0005667;GO:0016407;GO:0033613;GO:0050681;GO:0008013;GO:0003682;GO:0031490;GO:0003684;GO:0003677;GO:0004402;GO:0140069;GO:0140068;GO:0004468;GO:0051059;GO:0035257;GO:0002039;GO:0140065;GO:0061733;GO:0097157;GO:0008022;GO:0061920;GO:0001102;GO:0000978;GO:0001085;GO:0000977;GO:0097677;GO:0048156;GO:0003713;GO:0008134;GO:0016746;GO:0008270;GO:0009887;GO:0006915;GO:0030183;GO:0002209;GO:1904837;GO:0034644;GO:0007623;GO:0006977;GO:0060325;GO:0045444;GO:0007507;GO:0016573;GO:0043969;GO:0043967;GO:0018393;GO:0006475;GO:0042771;GO:0007611;GO:0030324;GO:0010742;GO:0035855;GO:0035264;GO:0018076;GO:0045721;GO:0031333;GO:0000122;GO:0007399;GO:0007219;GO:0018394;GO:0140067;GO:0140066;GO:0061921;GO:0030220;GO:0043923;GO:0051091;GO:0045815;GO:0010976;GO:1901224;GO:0045747;GO:0032092;GO:1905636;GO:0045944;GO:0006990;GO:0007221;GO:0045893;GO:0030511;GO:0032481;GO:0006473;GO:0031648;GO:0016579;GO:0050821;GO:0060765;GO:0010506;GO:0051726;GO:1900034;GO:0006110;GO:0045652;GO:0010821;GO:1901796;GO:0061418;GO:0006355;GO:0090043;GO:0043627;GO:0001666;GO:0007519;GO:0001756;GO:0002223;GO:0036268;GO:0001966;GO:0006283;GO:0016032;	5744
XM_031561538.1	 GO:0005694;GO:0005829;GO:0000123;GO:0042025;GO:0005654;GO:0005634;GO:0032993;GO:0005667;GO:0016407;GO:0033613;GO:0050681;GO:0008013;GO:0003682;GO:0031490;GO:0003684;GO:0003677;GO:0004402;GO:0140069;GO:0140068;GO:0004468;GO:0051059;GO:0035257;GO:0002039;GO:0140065;GO:0061733;GO:0097157;GO:0008022;GO:0061920;GO:0001102;GO:0000978;GO:0001085;GO:0000977;GO:0097677;GO:0048156;GO:0003713;GO:0008134;GO:0016746;GO:0008270;GO:0009887;GO:0006915;GO:0030183;GO:0002209;GO:1904837;GO:0034644;GO:0007623;GO:0006977;GO:0060325;GO:0045444;GO:0007507;GO:0016573;GO:0043969;GO:0043967;GO:0018393;GO:0006475;GO:0042771;GO:0007611;GO:0030324;GO:0010742;GO:0035855;GO:0035264;GO:0018076;GO:0045721;GO:0031333;GO:0000122;GO:0007399;GO:0007219;GO:0018394;GO:0140067;GO:0140066;GO:0061921;GO:0030220;GO:0043923;GO:0051091;GO:0045815;GO:0010976;GO:1901224;GO:0045747;GO:0032092;GO:1905636;GO:0045944;GO:0006990;GO:0007221;GO:0045893;GO:0030511;GO:0032481;GO:0006473;GO:0031648;GO:0016579;GO:0050821;GO:0060765;GO:0010506;GO:0051726;GO:1900034;GO:0006110;GO:0045652;GO:0010821;GO:1901796;GO:0061418;GO:0006355;GO:0090043;GO:0043627;GO:0001666;GO:0007519;GO:0001756;GO:0002223;GO:0036268;GO:0001966;GO:0006283;GO:0016032;	2652
XM_031568476.1	-	94
XM_031572639.1	 GO:0005884;GO:0005923;GO:0030054;GO:0009986;GO:0008180;GO:0005737;GO:0031410;GO:0030139;GO:0009897;GO:0016021;GO:0030027;GO:0005654;GO:0005886;GO:0001726;GO:0001725;GO:0043532;GO:0038023;GO:0030036;GO:0001525;GO:0043534;GO:0048514;GO:0042074;GO:0034613;GO:0006935;GO:0003365;GO:0001702;GO:0035329;GO:0001701;GO:0016525;GO:0034260;GO:0043116;GO:0043536;GO:0040019;GO:0030334;GO:0051056;GO:0001570;	18
XM_031585803.1	 GO:0035060;GO:0071565;GO:0071564;GO:0000790;GO:0005654;GO:0005634;GO:0016514;GO:0003677;GO:0016922;GO:0031491;GO:0003713;GO:0030521;GO:0043044;GO:0003205;GO:0055007;GO:0006338;GO:0048096;GO:0007566;GO:0030900;GO:0001704;GO:0042921;GO:0030520;GO:0000122;GO:0001843;GO:0006337;GO:0042766;GO:0003408;GO:0060674;GO:0045893;GO:0006357;GO:0019827;GO:1901998;	36
XM_031564214.1	 GO:0005829;GO:0000790;GO:0005654;GO:0005634;GO:0005667;GO:0003682;GO:0001228;GO:0003700;GO:0000981;GO:0000978;GO:0008134;GO:0033173;GO:0071345;GO:0001816;GO:0007588;GO:1904996;GO:1901224;GO:0045944;GO:0070884;GO:0006970;GO:0007165;GO:0006366;	723
XM_031581222.1	-	23
XM_031563945.1	 GO:0005739;GO:0000790;GO:0005654;GO:0005634;GO:0017053;GO:0003677;GO:0001228;GO:0003700;GO:0000981;GO:0070888;GO:0042826;GO:0042803;GO:0043565;GO:0000976;GO:0071549;GO:0006978;GO:0043922;GO:0071157;GO:0008285;GO:0045736;GO:0043392;GO:0045892;GO:0043923;GO:0043065;GO:2001269;GO:0045893;GO:0065003;GO:1901990;GO:0006357;	16803
XM_031567176.1	 GO:0015629;GO:0005737;GO:0030139;GO:0001726;GO:0003785;GO:0042802;GO:0005102;GO:0030036;GO:0007155;GO:0071498;GO:2001013;GO:0072102;GO:0030035;GO:0050680;GO:0072160;GO:0007009;GO:0061333;GO:0007169;	37
XM_012825023.2	-	37
XM_031572754.1	 GO:0005737;GO:0005829;GO:0019902;GO:0010923;	1596
XM_031559982.1	 GO:0005814;GO:0005813;GO:0005737;GO:0005829;GO:0005654;GO:0019904;GO:0019901;GO:0030674;GO:0010457;GO:0033365;	20638
XM_012814561.2	 GO:0005829;GO:0016020;GO:0005886;GO:0004843;GO:0016579;	1410
XM_031561290.1	 GO:0005737;GO:0005886;GO:0004843;GO:0016579;	978
XM_031560907.1	 GO:0043564;GO:0070419;GO:0000784;GO:0005654;GO:1990904;GO:0051575;GO:0005524;GO:0003684;GO:0003678;GO:0003723;GO:0042162;GO:0071480;GO:0071481;GO:0006310;GO:0006303;GO:0045892;GO:0000723;	1093
XM_031561590.1	-	12017
XM_012835616.2	 GO:0005929;GO:0012505;GO:0005789;GO:0071782;GO:0005768;GO:0005794;GO:0032593;GO:0048471;GO:0030670;GO:0005886;GO:0055037;GO:0055038;GO:0008021;GO:0005802;GO:0019003;GO:0005525;GO:0003924;GO:0007409;GO:0032869;GO:0071786;GO:0016197;GO:0045200;GO:0097051;GO:0043001;GO:0006893;GO:0006886;GO:0030859;GO:1903361;GO:0072659;GO:0009306;GO:0032482;GO:0017157;GO:0006904;GO:0016192;	14372
XM_031566255.1	 GO:0016604;GO:0005730;GO:0001227;GO:0046872;GO:0000978;GO:0006629;GO:0000122;	95
XM_031566256.1	 GO:0016604;GO:0005730;GO:0001227;GO:0046872;GO:0000978;GO:0006629;GO:0000122;	177
XR_004163664.1	-	27
XM_012824700.2	 GO:0005887;GO:0001750;GO:0005502;GO:0008020;GO:0004930;GO:0071482;GO:0043153;GO:0007186;GO:1990384;GO:0007602;GO:0007604;GO:0018298;GO:0007601;	89
XR_004164485.1	-	68
XM_031582064.1	 GO:0031901;GO:0005783;GO:0010008;GO:0000139;GO:0043231;GO:0031902;GO:0005811;GO:0055037;GO:0043813;GO:0004438;GO:0043812;GO:0007626;GO:0032288;GO:0031642;GO:0048666;GO:0006661;GO:0043473;GO:0010976;GO:0007033;	58
XM_031572475.1	 GO:0005737;GO:0005856;GO:0043197;GO:0098978;GO:0043025;GO:0098794;GO:0014069;GO:0032991;GO:0051015;GO:0046875;GO:0005096;GO:0019901;GO:0044877;GO:0031625;GO:0031532;GO:0090630;GO:0048013;GO:0098974;GO:0050770;GO:0048814;GO:0061001;GO:0043087;GO:0099151;GO:0051056;GO:0048167;	21887
XM_031560642.1	 GO:0005634;GO:0045296;GO:0003713;GO:0007517;GO:0045844;GO:0045944;GO:0051145;	24059
XM_031560771.1	 GO:0005737;GO:0005829;GO:0042025;GO:0005654;GO:0005634;GO:0003779;GO:0003785;GO:0043522;GO:0003713;GO:0030036;GO:0045944;GO:0010735;GO:0051145;GO:0044319;	4106
XM_031567900.1	 GO:0005911;GO:0005737;GO:0005829;GO:0030139;GO:0030027;GO:0048471;GO:0005886;GO:0098793;GO:0005089;GO:0035767;GO:0007186;GO:0043065;GO:0043123;GO:0099575;GO:0051056;	3414
XM_031561191.1	 GO:0030054;GO:0016021;GO:0005654;GO:0005886;GO:0005355;GO:1904659;GO:0008645;	188
XM_031561194.1	 GO:0061574;GO:0005737;GO:0005829;GO:0016607;GO:0005654;GO:0005634;GO:0003730;GO:0003723;GO:0031124;GO:0006406;GO:0000398;GO:0048025;GO:0000184;GO:0043065;GO:0000381;GO:0006405;GO:0008380;GO:0006351;	1221
XM_012833295.2	 GO:0005737;GO:0016607;GO:0003723;GO:0006397;GO:0008380;	536
XR_004163134.1	-	30
XM_031564579.1	 GO:1990184;GO:0016324;GO:0016021;GO:0005765;GO:0005886;GO:0015171;GO:0015190;GO:0015196;GO:0042605;GO:1904556;GO:0015804;	25997
XM_031564651.1	 GO:0005737;GO:0005829;GO:0043231;GO:0005634;GO:0005886;GO:0005096;GO:0043533;GO:0046872;GO:1902936;GO:0005547;GO:0007166;GO:0043087;	1555
XM_012823222.2	 GO:0005634;GO:0000987;GO:0001228;GO:0048484;GO:0003170;GO:0002009;GO:0000122;GO:0014032;GO:0048709;GO:0007422;GO:0045944;	117
XM_012823228.2	 GO:0005789;GO:0005794;GO:0016021;GO:0034382;GO:0006888;GO:0051006;GO:0033578;GO:0051604;GO:0009306;GO:0090181;GO:0090207;GO:0006641;	8386
XM_012836953.2	 GO:0098978;GO:0000139;GO:0005886;GO:0005509;GO:0048306;GO:0008139;GO:0098885;GO:0042308;GO:0050896;GO:0007601;	23
XM_031586541.1	 GO:0015629;GO:0016323;GO:0099738;GO:0030054;GO:0030863;GO:0005737;GO:0009898;GO:0005856;GO:0005829;GO:0045171;GO:0016020;GO:0072686;GO:0016604;GO:0005886;GO:0014069;GO:0032991;GO:0005545;GO:0003779;GO:0005516;GO:0051219;GO:0008022;GO:0047485;GO:0030507;GO:0005198;GO:0030036;GO:0031032;GO:0007049;GO:0051301;GO:0030866;GO:0032092;GO:1904778;GO:0065003;GO:0051924;GO:0008360;GO:1904478;	4303
XM_031568323.1	 GO:0098993;GO:0012505;GO:0000139;GO:0031226;GO:0030667;GO:0019002;GO:0005525;GO:0003924;GO:0035272;GO:0043001;GO:0006886;GO:0032482;GO:0045055;GO:0017157;GO:0099575;	16726
XM_031576635.1	-	12155
XM_012840244.2	 GO:0005776;GO:0005783;GO:0006914;GO:0060244;GO:0001845;GO:2001241;GO:0034976;	6143
XM_031575593.1	-	17202
XM_031570792.1	 GO:0016021;GO:0051213;GO:0018193;	49
XM_031558564.1	 GO:0070062;GO:0005794;GO:0000139;GO:0016021;GO:0016020;GO:0030144;GO:0030145;GO:0004864;GO:1903614;GO:0030335;GO:1904894;GO:0006487;GO:0018279;	976
XM_012833291.2	 GO:0005634;GO:0048471;GO:0005886;GO:0016529;GO:0005525;GO:0003924;GO:0007186;GO:0045892;GO:0007263;GO:0007165;	928
XM_012823223.2	 GO:0005634;GO:0048471;GO:0005886;GO:0016529;GO:0005525;GO:0003924;GO:0007186;GO:0045892;GO:0007263;GO:0007165;	947
XM_012823225.2	 GO:0005739;GO:0008253;GO:0046872;GO:0000166;GO:0046079;GO:0009223;	2183
XM_012823229.2	 GO:0008180;GO:0005737;GO:0006511;	4561
XM_031564568.1	 GO:0005634;GO:0036459;GO:0008270;GO:0007049;GO:0006325;GO:0016579;GO:0006511;	10565
XM_031569066.1	 GO:0005634;GO:0036459;GO:0008270;GO:0007049;GO:0006325;GO:0016579;GO:0006511;	10632
XM_031559325.1	 GO:0005737;GO:0005829;GO:0005783;GO:0005794;GO:0005739;GO:0005730;GO:0005654;GO:0005634;GO:1990452;GO:0048471;GO:0032991;GO:0019005;GO:0030332;GO:0042802;GO:0050816;GO:0030674;GO:0043130;GO:0031625;GO:0097027;GO:0006974;GO:0034644;GO:0055088;GO:0030324;GO:0010629;GO:2000346;GO:0045746;GO:2001205;GO:1903026;GO:2000639;GO:0010868;GO:0007219;GO:0045741;GO:0070374;GO:1903378;GO:1901800;GO:1903955;GO:0031398;GO:2000060;GO:0051443;GO:0043687;GO:0043161;GO:0031648;GO:0000209;GO:0050821;GO:0016567;GO:1903146;GO:1902806;GO:0090049;GO:0042752;GO:0010883;GO:0032880;GO:0048511;GO:0031146;GO:0007062;GO:0010992;GO:0001944;GO:0001570;GO:0016032;	44773
XM_031561726.1	 GO:0015629;GO:0030054;GO:0032154;GO:0043034;GO:0005737;GO:0005829;GO:0071437;GO:0036449;GO:0030496;GO:0005634;GO:0005886;GO:0002102;GO:0051015;GO:0008154;GO:0032467;GO:0007519;	20
XM_012832251.2	 GO:0009897;GO:0005615;GO:0008009;GO:0045236;GO:0008083;GO:0005178;GO:0007411;GO:0060326;GO:0070098;GO:0006952;GO:0007186;GO:0006955;GO:0050930;GO:0033622;GO:0007509;GO:0030335;	49
XM_031561514.1	 GO:0005789;GO:0016021;GO:0016020;GO:0000254;GO:0001567;GO:0005506;GO:0016491;GO:0008395;GO:0035754;GO:0008203;GO:0051607;GO:0016126;	409
XM_012821212.2	 GO:0005525;GO:0003924;GO:0003746;GO:0006412;	7468
XM_012833413.2	 GO:0016021;GO:0005887;GO:0005308;GO:0008028;GO:0015293;GO:0015881;GO:0015718;	531
XM_012829837.2	 GO:0071944;GO:0030118;GO:0005829;GO:0005634;GO:0055037;GO:1905502;GO:0005524;GO:0004594;GO:0042803;GO:0015937;GO:0009108;	3195
XM_031560847.1	 GO:0071944;GO:0030118;GO:0005829;GO:0005634;GO:0055037;GO:1905502;GO:0005524;GO:0004594;GO:0042803;GO:0015937;GO:0009108;	3196
XM_012829838.2	 GO:0071944;GO:0030118;GO:0005829;GO:0005634;GO:0055037;GO:1905502;GO:0005524;GO:0004594;GO:0042803;GO:0015937;GO:0009108;	4789
XM_012833410.2	 GO:0071944;GO:0030118;GO:0005829;GO:0005634;GO:0055037;GO:1905502;GO:0005524;GO:0004594;GO:0042803;GO:0015937;GO:0009108;	5848
XM_012839594.2	 GO:0005887;GO:0045202;GO:0004993;GO:0007268;GO:0007623;GO:0006939;GO:0042310;	677
XM_012829818.2	 GO:0030425;GO:0005887;GO:0005886;GO:0045202;GO:0004930;GO:0004993;GO:0030594;GO:0008015;GO:0007268;GO:0007623;GO:0007186;GO:0007187;GO:0006939;GO:0042310;	681
XM_012833387.2	 GO:0030425;GO:0005887;GO:0005886;GO:0045202;GO:0004930;GO:0004993;GO:0030594;GO:0008015;GO:0007268;GO:0007623;GO:0007186;GO:0007187;GO:0006939;GO:0042310;	1072
XM_031561294.1	 GO:0005813;GO:0070938;GO:0005737;GO:0005829;GO:0030426;GO:0045171;GO:0005871;GO:0005874;GO:0030496;GO:1990023;GO:0097431;GO:0005730;GO:0005654;GO:0005634;GO:0048471;GO:0051233;GO:0005524;GO:0008574;GO:0016887;GO:0008017;GO:0003777;GO:0042803;GO:0050699;GO:0007050;GO:0051301;GO:0007018;GO:0001843;GO:0048812;GO:0008284;GO:0032467;GO:0090316;GO:1903438;GO:2001224;GO:0035372;GO:2000114;GO:0007088;	1045
XM_031572614.1	 GO:0005829;GO:0005634;GO:0005667;GO:0003677;GO:0003700;GO:0046983;GO:0006974;GO:0006473;GO:0051775;GO:0048511;	68176
XR_004164825.1	-	74
XM_031574323.1	-	57
XR_004165018.1	-	33
XM_012815400.2	 GO:0005776;GO:0012505;GO:0005768;GO:0000139;GO:0005765;GO:0005764;GO:0045335;GO:0005886;GO:0055038;GO:0030141;GO:0008021;GO:0030140;GO:0019003;GO:0005525;GO:0003924;GO:0006914;GO:0044257;GO:0032869;GO:0071346;GO:0008333;GO:0048210;GO:0006886;GO:0016239;GO:0072659;GO:0009306;GO:0032482;GO:0017157;GO:0006904;	6145
XM_012836554.2	 GO:0010008;GO:0005576;GO:0005794;GO:0016021;GO:0005886;GO:0046872;GO:0004252;GO:1901394;	63558
XM_012833389.2	 GO:0005829;GO:0004842;GO:0000209;	14087
XM_031579366.1	 GO:0005829;GO:0004842;GO:0000209;	390
XM_012823497.2	 GO:0016021;GO:0005886;GO:0072509;GO:0070838;	81
XM_012819878.2	 GO:0000307;GO:0005737;GO:0042025;GO:0005634;GO:0016538;GO:0044772;GO:0000079;	580
XM_031579443.1	 GO:0043231;GO:0005654;GO:0005524;GO:0003677;GO:0008094;GO:0004386;GO:0003712;GO:0035562;GO:0045892;	5001
XM_031578566.1	 GO:0043231;GO:0005654;GO:0005524;GO:0003677;GO:0008094;GO:0004386;GO:0003712;GO:0035562;GO:0045892;	5607
XM_031578564.1	 GO:0097440;GO:0030014;GO:0005737;GO:0030425;GO:1990124;GO:0043005;GO:0005634;GO:0098794;GO:0014069;GO:0045202;GO:0035925;GO:0003730;GO:0043022;GO:0003723;GO:0035613;GO:0008135;GO:0000900;GO:0061158;GO:0071230;GO:0007616;GO:2000766;GO:1900248;GO:0000122;GO:0017148;GO:0060999;GO:1900273;GO:1900365;GO:1900153;GO:0060213;GO:0045727;GO:0060998;GO:0048167;GO:0050955;	10861
XM_031579444.1	 GO:0097440;GO:0030014;GO:0005737;GO:0030425;GO:1990124;GO:0043005;GO:0005634;GO:0098794;GO:0014069;GO:0045202;GO:0035925;GO:0003730;GO:0043022;GO:0003723;GO:0035613;GO:0008135;GO:0000900;GO:0061158;GO:0071230;GO:0007616;GO:2000766;GO:1900248;GO:0000122;GO:0017148;GO:0060999;GO:1900273;GO:1900365;GO:1900153;GO:0060213;GO:0045727;GO:0060998;GO:0048167;GO:0050955;	23833
XM_012837774.2	 GO:0005737;GO:0030425;GO:0043197;GO:0005783;GO:0030426;GO:1990124;GO:0043005;GO:0005634;GO:0048471;GO:0014069;GO:0045202;GO:0003730;GO:0043022;GO:0008135;GO:0000900;GO:0071230;GO:0036294;GO:0042149;GO:0035235;GO:2000766;GO:0043524;GO:0002931;	9501
XM_012820752.2	 GO:0005737;GO:1990124;GO:0043005;GO:0005634;GO:0005844;GO:0045202;GO:0005095;GO:0035925;GO:0003730;GO:0008187;GO:0043023;GO:0043024;GO:0043022;GO:0008135;GO:0000900;GO:0071243;GO:0071456;GO:0032869;GO:0034599;GO:2000766;GO:1900248;GO:0034260;GO:0045900;	9451
XM_012820760.2	 GO:0005737;GO:1990124;GO:0043005;GO:0005634;GO:0045202;GO:0005095;GO:0035925;GO:0003730;GO:0043023;GO:0043024;GO:0043022;GO:0003723;GO:0008135;GO:0000900;GO:0071243;GO:0071456;GO:0032869;GO:0034599;GO:2000766;GO:1900248;GO:0034260;	9451
XM_012832179.2	 GO:0005737;GO:0030425;GO:0043197;GO:0005783;GO:0030426;GO:1990124;GO:0043005;GO:0005634;GO:0048471;GO:0014069;GO:0045202;GO:0046872;GO:0003730;GO:0043022;GO:0003723;GO:0008135;GO:0000900;GO:0071230;GO:0036294;GO:0042149;GO:0035235;GO:2000766;GO:0043524;GO:0002931;	1868
XM_031587036.1	 GO:0005737;GO:0030425;GO:0043197;GO:0005783;GO:0030426;GO:1990124;GO:0043005;GO:0005634;GO:0048471;GO:0014069;GO:0045202;GO:0003730;GO:0043022;GO:0008135;GO:0000900;GO:0071230;GO:0036294;GO:0042149;GO:0035235;GO:2000766;GO:0043524;GO:0002931;	1868
XM_012819900.2	 GO:0005783;GO:0005789;GO:0016021;GO:0016020;GO:0005741;GO:0005739;GO:0051020;GO:0061630;GO:0008270;GO:0090344;GO:0090141;GO:0051865;GO:0070585;GO:0000209;GO:0090140;	15878
XM_012819894.2	 GO:0016323;GO:0005829;GO:0009897;GO:0005615;GO:0005739;GO:0005634;GO:0005782;GO:0005524;GO:0004175;GO:0043559;GO:0004222;GO:0042803;GO:0140036;GO:0008270;GO:0150094;GO:0050435;GO:0019885;GO:0010815;GO:0044257;GO:0008340;GO:0042447;GO:1901143;GO:0043171;GO:0032092;GO:0051603;GO:1903715;GO:0010992;	17952
XM_031579442.1	 GO:0016323;GO:0005829;GO:0009897;GO:0005615;GO:0005739;GO:0005634;GO:0005782;GO:0005524;GO:0004175;GO:0043559;GO:0004222;GO:0042803;GO:0140036;GO:0008270;GO:0150094;GO:0050435;GO:0019885;GO:0010815;GO:0044257;GO:0008340;GO:0042447;GO:1901143;GO:0043171;GO:0032092;GO:0051603;GO:1903715;GO:0010992;	17957
XM_012816968.2	 GO:0016021;GO:0005741;GO:0005739;GO:0071949;GO:0050660;GO:0004502;GO:0016174;GO:0034354;GO:0043420;GO:0072015;GO:0070189;GO:0019674;GO:0019805;GO:0001878;GO:0006569;	4410
XM_012817009.2	 GO:0016021;GO:0005887;GO:0001750;GO:0008020;GO:0004930;GO:0009881;GO:0071482;GO:0009583;GO:0007186;GO:0007602;GO:0018298;GO:0042752;	1386
XM_012816982.2	 GO:0015629;GO:0005737;GO:0005856;GO:0005829;GO:0012505;GO:0005886;GO:0005519;GO:0017049;GO:0030838;GO:0031274;GO:0008360;GO:0007266;GO:0007165;	180
XM_012820690.2	 GO:0031410;GO:0005887;GO:0016020;GO:0043005;GO:0004930;GO:0042923;GO:0001626;GO:0042277;GO:0008022;GO:0007193;GO:1990708;GO:0042755;GO:0044849;GO:0106072;GO:0045776;GO:0043951;GO:1901386;GO:0007218;GO:0038003;GO:0051482;GO:0060454;GO:1904058;GO:0035810;GO:1904059;GO:0051930;GO:0032355;GO:0019233;	36
XM_012838904.2	 GO:0005623;GO:0005524;GO:0004835;GO:0018166;GO:0000226;GO:0045931;GO:0030516;GO:0090235;	1313
XM_012827664.2	 GO:0005737;GO:0016020;GO:0005524;GO:0004674;GO:0002009;GO:0051092;	19
XM_031578889.1	 GO:0005737;GO:0070062;GO:0000228;GO:0005634;GO:0048471;GO:0005524;GO:0016887;GO:0016787;GO:0000287;GO:0008568;GO:0046034;GO:0071479;GO:0031122;GO:0007140;GO:0043066;GO:2001243;GO:0001649;GO:0033687;GO:0051726;GO:0010569;	897
XM_012838396.2	 GO:0005634;GO:0003677;GO:0046872;GO:0007275;GO:0045892;	14377
XM_031559630.1	 GO:0005654;GO:0003700;GO:0042802;GO:0046872;GO:0000976;GO:0045944;	130
XM_012840017.2	 GO:0005737;GO:0005829;GO:0005654;GO:0005634;GO:0005886;GO:0001228;GO:0003700;GO:0042826;GO:0042802;GO:0046872;GO:1990841;GO:0042803;GO:0000977;GO:0043565;GO:0000976;GO:0042113;GO:0045944;GO:0042981;GO:0045577;GO:0030888;GO:0045619;GO:0009617;	14823
XM_031565727.1	 GO:0016604;GO:0005654;GO:0032991;GO:0043425;GO:0003700;GO:0042802;GO:0019904;GO:0043565;GO:0000976;GO:0008270;GO:0045892;GO:0045944;GO:0051260;	2119
XM_031578906.1	 GO:0005737;GO:0005829;GO:0070062;GO:0005634;GO:1990829;GO:0001227;GO:0003690;GO:0003729;GO:0003723;GO:0016071;GO:0010468;GO:0051252;	72
XM_031558805.1	 GO:0005737;GO:0005829;GO:0070062;GO:0005634;GO:1990829;GO:0001227;GO:0003690;GO:0003729;GO:0003723;GO:0016071;GO:0010468;GO:0051252;	38
XM_031578899.1	 GO:0005737;GO:0005829;GO:0070062;GO:0005634;GO:1990829;GO:0001227;GO:0003690;GO:0003729;GO:0003723;GO:0016071;GO:0010468;GO:0051252;	1080
XM_031582251.1	-	970
XM_012819039.2	 GO:0016021;GO:0016020;GO:0072657;	4106
XM_012819041.2	 GO:0005829;GO:0005769;GO:0005739;GO:0032991;GO:0043027;GO:0042802;GO:0008022;GO:0019901;GO:0008379;GO:0034614;GO:0042744;GO:0001893;GO:0007005;GO:0030099;GO:0033673;GO:0018171;GO:0008284;GO:0051092;GO:0051881;GO:0042542;GO:0032496;	986
XM_031578516.1	 GO:0016282;GO:0033290;GO:0005852;GO:0071540;GO:0071541;GO:0043614;GO:0003729;GO:0003743;GO:0001732;GO:0002188;	3589
XM_012819037.2	 GO:0000790;GO:0005634;GO:0000981;GO:0001227;GO:0000978;GO:0001162;GO:0009952;GO:0007420;GO:0021846;GO:0007417;GO:0021796;GO:0021542;GO:0021885;GO:0030182;GO:0006357;GO:0042493;GO:0072197;	3561
